,Index,Title,Artist,Like,Top.Genre,Year,Beats.Per.Minute..BPM.,Energy,Danceability,Loudness..dB.,Liveness,Valence,Length..Duration.,Acousticness,Speechiness,Popularity
423,423,Just the Way You Are,Bruno Mars,1,dance pop,2010,109,84,64,-5,9,43,221,2,4,80
306,306,Stiekem Gedanst,Toontje Lager,0,dutch rock,2008,96,63,66,-10,60,84,215,21,6,53
532,532,Witch Doctor,De Staat,0,dutch indie,2013,145,56,60,-7,5,33,207,0,6,47
357,357,Sunrise,Simply Red,0,british soul,2004,106,73,79,-5,10,94,200,0,3,55
48,48,Run,Snow Patrol,0,irish rock,2004,75,64,37,-6,17,20,355,0,3,65
430,430,Have You Ever Been Mellow,Party Animals,0,gabba,2010,172,96,60,-4,25,57,188,20,5,47
252,252,Hocus Pocus,Focus,0,album rock,2001,184,82,26,-6,28,40,403,2,15,53
256,256,Rain Down on Me,Kane,0,dutch pop,2003,133,88,46,-3,11,33,247,0,6,47
253,253,Mensch,Herbert Grönemeyer,0,german pop,2008,174,78,68,-6,8,87,270,3,8,47
537,537,Layla,Derek & The Dominos,0,album rock,2013,114,93,41,-5,60,39,163,34,10,32
342,342,You Oughta Know,Alanis Morissette,0,alternative rock,2005,105,86,64,-7,87,47,250,23,7,52
643,643,Up&Up,Coldplay,1,permanent wave,2015,164,72,48,-5,10,25,405,5,6,70
481,481,Zo Stil,BLØF,0,dutch pop,2012,170,69,57,-7,11,78,237,4,3,54
525,525,Do I Wanna Know?,Arctic Monkeys,0,garage rock,2013,85,53,55,-8,22,41,272,19,3,82
193,193,The Real Slim Shady,Eminem,1,detroit hip hop,2000,105,66,95,-4,5,76,284,3,6,80
577,577,Magic,Coldplay,0,permanent wave,2014,93,48,74,-9,11,36,285,3,4,73
576,576,Under The Pressure,The War On Drugs,1,chamber pop,2014,134,71,33,-7,13,19,532,31,3,60
52,52,Dansen Aan Zee,BLØF,0,dutch pop,2000,194,43,35,-11,10,26,275,16,3,52
349,349,You're Beautiful,James Blunt,1,neo mellow,2005,82,48,68,-10,9,45,209,63,3,76
82,82,Wêr Bisto,Twarres,0,dutch pop,2001,88,32,52,-11,9,18,226,33,2,48
225,225,Everlong - Acoustic Version,Foo Fighters,0,alternative metal,2009,144,34,64,-11,11,55,251,91,3,69
628,628,"Theme From New York, New York",Frank Sinatra,0,adult standards,2015,109,59,41,-5,28,56,204,55,3,68
159,159,Accidentally In Love,Counting Crows,1,alternative rock,2004,138,93,55,-4,9,81,189,4,4,59
220,220,Stan,Eminem,1,detroit hip hop,2000,80,77,78,-4,52,51,404,4,24,75
9,9,Mr. Brightside,The Killers,1,modern rock,2004,148,92,36,-4,10,23,223,0,8,77
25,25,Dichterbij Dan Ooit,BLØF,0,dutch pop,2002,112,74,65,-7,23,52,261,18,3,16
140,140,Sonne,Rammstein,0,alternative metal,2001,75,92,51,-5,40,31,272,1,9,60
30,30,7 Seconds (feat. Neneh Cherry),Youssou N'Dour,0,afropop,2004,154,70,68,-10,33,51,306,8,3,59
619,619,Ordinary Love,U2,1,irish rock,2015,121,48,66,-9,18,35,219,4,3,45
764,764,Youngblood,5 Seconds of Summer,1,boy band,2018,120,85,60,-5,12,15,203,2,46,84
470,470,Lego House,Ed Sheeran,1,pop,2011,160,64,59,-8,13,56,185,56,10,71
108,108,Ben Ik Te Min,Armand,0,dutch rock,2009,101,69,62,-7,6,56,208,28,3,47
208,208,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,0,album rock,2008,170,66,46,-9,33,53,274,3,6,72
24,24,Somebody Told Me,The Killers,0,modern rock,2004,138,99,51,-3,12,65,197,0,9,69
483,483,Radioactive,Imagine Dragons,1,modern rock,2012,136,78,45,-4,67,24,187,11,6,73
544,544,Just Say Yes,Snow Patrol,0,irish rock,2013,108,88,54,-5,3,25,282,2,3,48
706,706,Something Just Like This,The Chainsmokers,1,electropop,2017,103,64,62,-7,16,45,247,5,3,84
246,246,Mr Rock & Roll,Amy Macdonald,0,scottish singer-songwriter,2007,111,87,60,-5,11,44,215,3,3,30
606,606,Het Dorp - Live,Wim Sonneveld,0,dutch cabaret,2015,114,44,37,-15,67,45,198,82,8,15
371,371,Life in Technicolor ii,Coldplay,0,permanent wave,2008,131,91,47,-7,25,29,245,0,4,47
317,317,Vertigo,U2,0,irish rock,2004,140,82,42,-4,15,63,194,0,6,65
509,509,One Moment in Time,Whitney Houston,0,dance pop,2012,155,54,27,-7,10,33,285,49,3,54
186,186,Belle Hélène,Doe Maar,0,dutch cabaret,2008,138,56,74,-10,8,98,170,11,4,49
772,772,Guiding Light,Mumford & Sons,0,modern folk rock,2018,100,71,55,-8,8,30,218,6,5,60
550,550,Royals,Lorde,0,art pop,2013,85,43,67,-10,13,34,190,12,12,79
795,795,Blauwe Dag,Suzan & Freek,0,dutch pop,2019,98,56,70,-7,28,51,183,25,5,68
557,557,Foolish Games,Jewel,0,alaska indie,2013,131,22,46,-10,11,15,243,90,3,41
774,774,Hou Vol Hou Vast,BLØF,0,dutch pop,2018,86,61,51,-5,8,23,295,0,2,12
13,13,Als Het Golft,De Dijk,0,dutch indie,2000,102,88,54,-6,53,59,214,2,3,34
359,359,When You Say Nothing At All,Ronan Keating,0,dance pop,2000,174,45,46,-11,8,42,257,16,3,74
410,410,Liverpool Rain,Racoon,0,dutch indie,2010,183,50,45,-7,11,21,266,25,3,26
696,696,"Roll Over Lay Down - Live At The Kursaal, Southend / 1975",Status Quo,0,album rock,2017,132,69,34,-9,34,21,341,0,4,32
660,660,Dark Necessities,Red Hot Chili Peppers,0,alternative rock,2016,92,74,70,-7,11,20,302,7,7,74
171,171,"Comptine d'un autre été, l'après-midi",Yann Tiersen,0,bow pop,2001,100,19,48,-15,11,6,141,99,5,56
710,710,Galway Girl,Ed Sheeran,1,pop,2017,100,88,62,-3,33,78,171,7,10,80
61,61,De Neus Umhoeg,Rowwen Hèze,0,carnaval limburg,2005,132,41,62,-14,10,51,215,7,3,32
380,380,Wrong,Novastar,0,belgian rock,2000,90,66,54,-8,55,49,214,14,4,48
5,5,Waitin' On A Sunny Day,Bruce Springsteen,0,classic rock,2002,106,82,58,-5,10,87,256,1,3,59
374,374,Het Land Van,Lange Frans,0,dutch hip hop,2005,83,53,66,-9,14,61,230,89,17,49
604,604,Let It Go,James Bay,1,neo mellow,2014,147,31,55,-10,11,25,261,82,3,74
236,236,Fireflies,Owl City,0,pop,2009,180,66,51,-7,12,46,228,3,4,79
77,77,Ne me quitte pas,Jacques Brel,0,chanson,2004,101,24,42,-11,19,30,229,82,5,58
582,582,Home,Dotan,0,dutch pop,2014,130,70,76,-9,4,30,268,7,4,42
501,501,Flappie,Youp van 't Hek,0,dutch cabaret,2012,131,24,75,-13,44,67,206,79,8,52
326,326,Beautiful Day,U2,0,irish rock,2000,136,93,54,-6,36,45,246,1,5,63
671,671,Blackstar,David Bowie,0,album rock,2016,98,55,37,-8,18,11,598,21,3,55
504,504,Hall of Fame,The Script,1,celtic rock,2012,85,87,42,-4,12,63,203,7,6,70
86,86,Aanzoek Zonder Ringen,BLØF,0,dutch pop,2006,160,85,55,-8,32,46,283,2,4,42
610,610,Heading Up High,Armin van Buuren,0,edm,2015,128,93,52,-5,11,20,233,0,9,53
401,401,Mag Ik Dan Bij Jou,Claudia De Breij,0,dutch cabaret,2010,132,29,54,-10,71,19,206,97,3,53
390,390,Make It Wit Chu,Queens of the Stone Age,0,alternative metal,2007,92,81,70,-5,13,58,290,36,3,59
142,142,She Sells Sanctuary,The Cult,0,album rock,2000,139,77,55,-9,13,42,253,0,3,63
708,708,Thinking Of A Place,The War On Drugs,0,chamber pop,2017,103,63,48,-7,12,16,671,39,3,59
536,536,Strong,London Grammar,0,metropopolis,2013,78,40,57,-11,8,30,266,74,3,49
727,727,Shallow,Lady Gaga,1,dance pop,2018,96,39,57,-6,23,32,216,37,3,88
218,218,Blauw,The Scene,0,belgian rock,2007,135,75,51,-7,14,28,236,0,3,47
393,393,Farewell To The Fairground,White Lies,0,alternative dance,2009,118,77,53,-5,12,30,257,0,4,54
767,767,Als De Rook Om Je Hoofd Is Verdwenen,Boudewijn de Groot,0,dutch indie,2018,132,71,42,-11,3,64,205,14,3,19
370,370,Poker Face,Lady Gaga,1,dance pop,2008,119,81,85,-5,12,78,237,12,8,69
471,471,Skinny Love,Birdy,0,neo mellow,2011,166,29,38,-8,12,17,201,95,5,75
177,177,Hier,BLØF,0,dutch pop,2000,164,76,50,-8,14,58,248,0,3,40
741,741,IJskoud,Nielson,0,dutch pop,2018,98,73,67,-7,37,15,210,4,5,65
242,242,Wicked Game,Chris Isaak,0,mellow gold,2006,113,55,67,-8,9,29,287,74,3,70
635,635,A Head Full of Dreams,Coldplay,0,permanent wave,2015,123,92,45,-5,33,8,224,0,7,68
769,769,Pain and Misery,The Teskey Brothers,0,australian americana,2018,89,34,71,-7,16,49,241,79,3,50
625,625,Three Days In A Row,Anouk,1,dutch indie,2015,171,50,36,-6,16,39,254,0,3,13
598,598,Sexy Als Ik Dans,Nielson,0,dutch pop,2014,94,54,79,-7,20,89,215,9,5,49
340,340,Bedshaped,Keane,0,modern rock,2004,75,41,33,-7,10,7,276,61,3,41
187,187,Go With The Flow,Queens of the Stone Age,0,alternative metal,2002,159,99,24,-4,83,37,187,1,10,58
590,590,California Love,2Pac,0,g funk,2014,92,88,66,-3,69,77,348,3,9,41
441,441,A Boy Named Sue (Live),Johnny Cash,0,arkansas country,2011,105,46,52,-16,78,89,218,93,5,18
33,33,Chasing Pavements,Adele,0,british soul,2008,80,47,62,-6,11,33,211,31,3,63
119,119,Use Somebody,Kings of Leon,1,modern rock,2008,137,72,28,-5,20,17,231,1,4,76
679,679,7 Years,Lukas Graham,1,danish pop,2016,120,47,77,-6,39,34,237,29,5,80
180,180,Like a Hurricane - 2003 Remaster,Neil Young,0,album rock,2004,114,83,42,-5,16,61,501,1,4,49
375,375,Bad Romance,Lady Gaga,0,dance pop,2009,119,92,70,-4,8,71,295,0,4,79
777,777,Lay Your Weapons Down,Ilse DeLange,0,dutch americana,2018,94,68,54,-9,9,47,219,1,6,21
354,354,Sex on Fire,Kings of Leon,0,modern rock,2008,153,91,54,-6,14,37,203,0,5,79
620,620,Stressed Out,Twenty One Pilots,1,modern rock,2015,170,64,73,-6,6,65,202,5,14,83
157,157,Heartbreak Warfare,John Mayer,0,neo mellow,2009,97,55,62,-8,30,31,270,19,2,66
123,123,Voltooid Verleden Tijd,IOS,0,dutch pop,2009,138,44,46,-9,10,15,294,66,3,39
510,510,Zaterdag,BLØF,0,dutch pop,2012,141,71,75,-10,10,90,283,9,3,41
261,261,Ren Lenny Ren,Acda en de Munnik,0,dutch cabaret,2002,110,87,51,-5,33,43,233,1,5,43
549,549,Story of My Life,One Direction,1,boy band,2013,121,66,60,-6,12,29,245,23,5,80
538,538,Pompeii,Bastille,1,metropopolis,2013,127,72,68,-6,27,57,214,8,4,70
42,42,Traffic - Radio Edit,Tiësto,0,big room,2009,138,64,71,-10,19,10,177,0,9,53
736,736,Verdronken Vlinder,Boudewijn de Groot,0,dutch indie,2018,128,54,33,-9,21,82,146,57,4,29
411,411,No Mercy,Racoon,0,dutch indie,2010,104,57,77,-6,11,61,165,9,3,36
588,588,Wit Licht,Jeroen van Koningsbrugge,0,pop,2014,146,69,59,-7,10,19,212,72,8,43
687,687,What About Us,P!nk,1,dance pop,2017,114,59,49,-6,9,19,270,3,5,76
662,662,Bridges,Kensington,0,dutch pop,2016,150,83,38,-7,7,45,220,0,6,49
114,114,"Bloed, Zweet En Tranen",Andre Hazes,0,dutch pop,2002,68,72,60,-4,35,37,242,8,3,59
494,494,Wat Zou Je Doen?,BLØF,0,dutch pop,2012,184,51,35,-8,71,22,291,40,3,51
182,182,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,0,soft rock,2004,109,78,70,-8,6,39,289,9,5,70
278,278,City Of Blinding Lights,U2,0,irish rock,2004,139,77,44,-4,11,20,346,0,3,60
56,56,Grounds for Divorce,Elbow,0,britpop,2009,92,76,52,-5,57,63,219,42,3,43
760,760,Always Remember Us This Way,Lady Gaga,1,dance pop,2018,130,50,55,-6,76,30,210,30,4,81
144,144,Red Red Wine,UB40,0,reggae fusion,2000,89,47,86,-9,27,84,184,0,5,74
596,596,Counting Stars,OneRepublic,1,dance pop,2014,122,71,66,-5,12,48,258,7,4,74
163,163,Moonlight Shadow,Mike Oldfield,0,album rock,2009,129,72,61,-8,36,80,218,29,3,64
409,409,I Follow Rivers - Live @ Giel!,Triggerfinger,0,belgian rock,2010,110,41,67,-9,3,71,214,15,6,42
173,173,The Man Who Can't Be Moved,The Script,1,celtic rock,2008,100,63,61,-5,10,33,241,43,3,64
468,468,I Won' T Let You Down,Road Band,0,pop,2011,106,35,64,-14,7,59,233,54,3,33
489,489,I Will Wait,Mumford & Sons,0,modern folk rock,2012,131,76,48,-5,31,45,277,1,3,69
730,730,I Want To Break Free,Queen,1,glam rock,2018,109,41,81,-9,8,50,223,11,4,59
755,755,Vluchten Kan Niet Meer,Frans Halsema,0,dutch rock,2018,87,25,41,-13,38,32,221,74,3,17
712,712,Supermarket Flowers,Ed Sheeran,1,pop,2017,90,24,59,-11,9,26,221,91,4,78
100,100,Motorcycle Emptiness,Manic Street Preachers,0,alternative rock,2002,112,81,53,-4,16,21,306,0,3,39
57,57,Sometimes You Can't Make It On Your Own,U2,0,irish rock,2004,96,60,53,-6,11,35,305,0,2,57
35,35,Tears Dry On Their Own,Amy Winehouse,0,british soul,2006,122,87,64,-3,29,45,185,49,12,72
34,34,Don't Know Why,Norah Jones,0,adult standards,2002,88,20,73,-12,7,62,186,88,3,74
775,775,One Kiss (with Dua Lipa),Calvin Harris,1,dance pop,2018,124,86,79,-3,8,59,215,4,11,86
199,199,Dakota,Stereophonics,0,britpop,2005,147,93,51,-3,9,31,297,13,7,68
136,136,You Know I'm No Good,Amy Winehouse,0,british soul,2006,103,81,71,-4,7,73,257,1,3,74
623,623,Hymn for the Weekend,Coldplay,0,permanent wave,2015,90,74,49,-5,30,36,259,26,4,78
540,540,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,1,electro,2013,116,81,79,-9,10,86,248,4,4,77
165,165,Uprising,Muse,0,modern rock,2009,128,91,60,-4,12,41,305,0,8,76
392,392,Clocks,Coldplay,0,permanent wave,2002,131,75,58,-7,18,26,308,60,3,76
565,565,Streets,Kensington,0,dutch pop,2014,168,77,38,-6,27,42,185,0,4,57
779,779,Roller Coaster,Danny Vera,0,dutch americana,2019,97,38,40,-10,12,28,270,51,3,70
31,31,The Scientist,Coldplay,1,permanent wave,2002,146,44,56,-7,11,21,310,73,2,84
271,271,Snow (Hey Oh),Red Hot Chili Peppers,0,alternative rock,2006,105,90,43,-4,12,60,335,12,5,80
511,511,Babel,Mumford & Sons,0,modern folk rock,2012,80,81,37,-6,8,65,209,3,5,57
269,269,Teardrops,Womack & Womack,0,disco,2001,133,72,87,-10,18,97,229,9,5,61
319,319,Hey Jude,The Beatles,1,british invasion,2006,74,63,46,-7,40,59,239,9,2,63
132,132,Red Mij Niet - Single Edit,Maarten Van Roozendaal,0,dutch indie,2001,119,38,52,-9,10,13,270,76,4,36
302,302,Like a Prayer,Madonna,0,dance pop,2009,111,84,62,-5,18,26,343,26,4,71
190,190,Heavy Cross,Gossip,0,alternative dance,2009,120,69,79,-4,14,22,243,8,3,59
424,424,Need You Now,Lady Antebellum,0,contemporary country,2010,108,72,58,-4,24,32,236,3,3,53
664,664,Mooi,Marco Borsato,0,dutch cabaret,2016,150,43,49,-8,12,31,315,10,3,59
355,355,Hallelujah,Lisa Lois,0,dutch pop,2009,182,24,19,-13,11,11,226,24,3,49
716,716,Pain,The War On Drugs,0,chamber pop,2017,116,83,52,-4,8,48,331,0,4,62